(R) 1986 - QUARTAS-DE-FINAL - Argentina  x Inglaterra 
(R) 1994 - OITAVAS-DE-FINAL - Alemanha  x Bélgica 
(R) 1998 - SEMIFINAL - Brasil  x Holanda 
(R) 1974 - GRUPO D - Polônia  x Argentina 
(R) 1962 - QUARTAS-DE-FINAL - Chile  x União Soviética 
(R) 1986 - GRUPO B - México  x Paraguai 
(R) 1990 - GRUPO A - Tchecoslováquia  x Áustria 
(R) 1994 - GRUPO A - Romênia  x Estados Unidos 
(R) 1998 - GRUPO H - Croácia  x Jamaica 
(R) 2002 - GRUPO C - Turquia  x China 
[COPA 1930] - GRUPO A - 13/7 - França (4) x (1) México  - Montevidéu
[COPA 1930] - GRUPO A - 15/7 - Argentina (1) x (0) França  - Montevidéu
[COPA 1930] - GRUPO A - 16/7 - Chile (3) x (0) México  - Montevidéu
[COPA 1930] - GRUPO A - 19/7 - França (0) x (1) Chile  - Montevidéu
[COPA 1930] - GRUPO A - 19/7 - Argentina (6) x (3) México  - Montevidéu
[COPA 1930] - GRUPO A - 22/7 - Argentina (3) x (1) Chile  - Montevidéu
[COPA 1930] - GRUPO B - 14/7 - Iugoslávia (2) x (1) Brasil  - Montevidéu
[COPA 1930] - GRUPO B - 17/7 - Iugoslávia (4) x (0) Bolivia  - Montevidéu
[COPA 1930] - GRUPO B - 20/7 - Brasil (4) x (0) Bolivia  - Montevidéu
[COPA 1930] - GRUPO C - 14/7 - Romênia (3) x (1) Peru  - Montevidéu
[COPA 1930] - GRUPO C - 18/7 - Uruguai (1) x (0) Peru  - Montevidéu
[COPA 1930] - GRUPO C - 21/7 - Uruguai (4) x (0) Romênia  - Montevidéu
[COPA 1930] - GRUPO D - 13/7 - Estados Unidos (3) x (0) Bélgica  - Montevidéu
[COPA 1930] - GRUPO D - 17/7 - Estados Unidos (3) x (0) Paraguai  - Montevidéu
[COPA 1930] - GRUPO D - 20/7 - Paraguai (1) x (0) Bélgica  - Montevidéu
[COPA 1930] - SEMIFINAL - 26/7 - Argentina (6) x (1) Estados Unidos  - Montevidéu
[COPA 1930] - SEMIFINAL - 27/7 - Uruguai (6) x (1) Iugoslávia  - Montevidéu
[COPA 1930] - FINAL - 27/7 - Uruguai (4) x (2) Argentina  - Montevidéu
[COPA 2014] - GRUPO A - 12/6 - Brasil (3) x (1) Croácia  - São Paulo
[COPA 2014] - GRUPO A - 13/6 - México (1) x (0) Camarões  - Natal
[COPA 2014] - GRUPO A - 17/6 - Brasil (0) x (0) México  - Fortaleza
[COPA 2014] - GRUPO A - 18/6 - Camarões (0) x (4) Croácia  - Manaus
[COPA 2014] - GRUPO A - 23/6 - Camarões (1) x (4) Brasil  - Brasília
[COPA 2014] - GRUPO A - 23/6 - Croácia (1) x (3) México  - Recife
[COPA 2014] - GRUPO B - 13/6 - Espanha (1) x (5) Holanda  - Salvador
[COPA 2014] - GRUPO B - 13/6 - Chile (3) x (1) Austrália  - Cuiabá
[COPA 2014] - GRUPO B - 18/6 - Espanha (0) x (2) Chile  - Rio de Janeiro
[COPA 2014] - GRUPO B - 18/6 - Austrália (2) x (3) Holanda  - Porto Alegre
[COPA 2014] - GRUPO B - 23/6 - Austrália (0) x (3) Espanha  - Curitiba
[COPA 2014] - GRUPO B - 23/6 - Holanda (2) x (0) Chile  - São Paulo
[COPA 2014] - GRUPO C - 14/6 - Colômbia (3) x (0) Grécia  - Belo Horizonte
[COPA 2014] - GRUPO C - 14/6 - Costa do Marfim (2) x (1) Japão  - Recife
[COPA 2014] - GRUPO C - 19/6 - Colômbia (2) x (1) Costa do Marfim  - Brasília
[COPA 2014] - GRUPO C - 19/6 - Japão (0) x (0) Grécia  - Natal
[COPA 2014] - GRUPO C - 24/6 - Japão (1) x (4) Colômbia  - Cuiabá
[COPA 2014] - GRUPO C - 24/6 - Grécia (2) x (1) Costa do Marfim  - Fortaleza
[COPA 2014] - GRUPO D - 14/6 - Uruguai (1) x (3) Costa Rica  - Fortaleza
[COPA 2014] - GRUPO D - 14/6 - Inglaterra (1) x (2) Itália  - Manaus
[COPA 2014] - GRUPO D - 19/6 - Uruguai (2) x (1) Inglaterra  - São Paulo
[COPA 2014] - GRUPO D - 20/6 - Itália (0) x (1) Costa Rica  - Recife
[COPA 2014] - GRUPO D - 24/6 - Itália (0) x (1) Uruguai  - Natal
